Borough,BIN,BBL,House Number,Street Name,Zipcode,Building Type,Job Number,Job Type,Work Type,Permit Type,Permit Subtype,Filing Date,Issuance Date,Expiration Date,Job Start Date
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140686899,A2,OT,EW,OT,2017-08-28,2017-08-28,2018-07-28,2017-08-28
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140695451,A2,OT,EW,OT,2017-09-21,2017-09-21,2018-07-28,2017-09-21
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123006718,A2,OT,EW,OT,2017-04-24,2017-04-25,2017-07-28,2017-04-25
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123022086,A2,PL,PL,NA,2017-08-30,2017-08-30,2018-08-30,2017-08-30
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140857865,A2,OT,EW,OT,2019-08-28,2019-08-28,2021-01-31,2019-08-28
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140695031,A2,PL,PL,NA,2017-09-26,2017-09-26,2018-09-26,2017-09-26
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123020854,A2,SP,EW,SP,2017-05-19,2017-05-19,2018-05-19,2017-05-19
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123080469,A2,PL,PL,NA,2017-05-15,2017-05-15,2018-05-15,2017-05-15
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123004523,A2,PL,PL,NA,2017-03-29,2017-03-30,2018-03-30,2017-03-30
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140857865,A2,PL,PL,NA,2019-09-04,2019-09-04,2020-09-03,2019-09-04
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123006718,A2,PL,PL,NA,2017-05-15,2017-05-15,2018-05-15,2017-05-15
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,122854599,A3,EQ,EQ,SH,2016-08-08,2016-08-08,2017-08-08,2016-08-08
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140702531,A2,PL,PL,NA,2017-11-01,2017-11-01,2018-11-01,2017-11-01
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140686899,A2,PL,PL,NA,2017-09-05,2017-09-05,2018-09-05,2017-09-05
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140654343,A2,PL,PL,NA,2017-07-06,2017-07-06,2018-07-06,2017-07-06
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140814938,A2,PL,PL,NA,2019-09-13,2019-09-13,2020-09-12,2019-09-13
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140868498,A2,OT,EW,OT,2019-09-16,2019-09-16,2021-01-31,2019-09-16
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123022086,A2,MH,EW,MH,2017-03-20,2017-03-20,2017-07-28,2017-03-20
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,123004523,A2,OT,EW,OT,2017-03-10,2017-03-10,2017-07-28,2017-03-10
MANHATTAN,1000829,1000270017,67,WALL STREET,10005,2,140681563,A2,PL,PL,NA,2017-09-05,2017-09-05,2018-09-05,2017-09-05
