major_category,minor_category,count
APPLIANCE,ELECTRIC/GAS RANGE,25085
APPLIANCE,REFRIGERATOR,17546
DOOR/WINDOW,DOOR,54861
DOOR/WINDOW,DOOR FRAME,8464
DOOR/WINDOW,DOOR TO DUMBWAITER,250
DOOR/WINDOW,WINDOW FRAME,42981
DOOR/WINDOW,WINDOW PANE,7243
ELECTRIC,LIGHTING,12653
ELECTRIC,NO LIGHTING,14049
ELECTRIC,OUTLET/SWITCH,17864
ELECTRIC,POWER OUTAGE,10497
ELECTRIC,WIRING,7572
ELEVATOR,MAINTENANCE,5293
FLOORING/STAIRS,FLOOR,76998
FLOORING/STAIRS,STAIRS,2170
GENERAL,BELL/BUZZER/INTERCOM,16537
GENERAL,CABINET,23043
GENERAL,COOKING GAS,16928
GENERAL,JANITOR/SUPER,4386
GENERAL,MAILBOX,3369
GENERAL,SIGNAGE MISSING,3327
GENERAL,TENANT HARASSMENT,3
GENERAL,VENTILATION SYSTEM,2581
HEAT/HOT WATER,APARTMENT ONLY,163060
HEAT/HOT WATER,ENTIRE BUILDING,411367
OUTSIDE BUILDING,FENCING,1
OUTSIDE BUILDING,GUTTER/LEADER,203
OUTSIDE BUILDING,PAVEMENT,604
OUTSIDE BUILDING,PORCH/BALCONY,115
OUTSIDE BUILDING,ROOF DOOR/HATCH,1054
OUTSIDE BUILDING,ROOFING,1052
OUTSIDE BUILDING,SKYLIGHT,188
PAINT/PLASTER,CABINET,1553
PAINT/PLASTER,CEILING,85161
PAINT/PLASTER,DOOR/FRAME,2341
PAINT/PLASTER,RADIATOR,2954
PAINT/PLASTER,WALL,94867
PAINT/PLASTER,WINDOW/FRAME,2714
PLUMBING,BASIN/SINK,45509
PLUMBING,BATHTUB/SHOWER,33537
PLUMBING,BOILER,561
PLUMBING,RADIATOR,15196
PLUMBING,SEWER,199
PLUMBING,STEAM PIPE/RISER,4620
PLUMBING,TOILET,21086
PLUMBING,WATER SUPPLY,30591
SAFETY,CARBON MONOXIDE DETECTOR,10622
SAFETY,FIRE ESCAPE,7636
SAFETY,OUTLET COVER,40
SAFETY,SMOKE DETECTOR,11839
SAFETY,SPRINKLER,475
SAFETY,WINDOW GUARD BROKEN/MISSING,8259
UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,40282
UNSANITARY CONDITION,MOLD,73015
UNSANITARY CONDITION,PESTS,119970
UNSANITARY CONDITION,SEWAGE,4617
WATER LEAK,DAMP SPOT,12884
WATER LEAK,HEAVY FLOW,42573
WATER LEAK,SLOW LEAK,40921
NA,NA,56
