bbl,longitude,latitude,housenum_lo,street_name
1000260014,-74.0102289,40.7063033,37,WALL STREET
1000270017,-74.0084001,40.7055459,67,WALL STREET
1000330011,-74.0075813,40.7046759,95,WALL STREET
1000420001,-74.0072208,40.706718,100,MAIDEN LANE
1000420022,-74.0081948,40.707363,10,LIBERTY STREET
1000520021,-74.0124621,40.709767,120,LIBERTY STREET
1000530006,-74.0139984,40.7085729,109,WASHINGTON STREET
1000650006,-74.0089489,40.709405,21,MAIDEN LANE
1000720027,-74.0044399,40.7058591,85,SOUTH STREET
1000760024,-74.0057422,40.7087245,40,GOLD STREET
1000880014,-74.009144,40.7122184,10,BARCLAY STREET
1000900017,-74.0073692,40.7108763,113,"NASSAU STREET"
1000970018,-74.0022831,40.707248,213,FRONT STREET
1001070028,-74.0007647,40.7084145,254,FRONT STREET
1001620013,-73.9985391,40.7145051,24,MOTT STREET
1001620014,-73.9985535,40.714571,26,MOTT STREET
1001620015,-73.9985643,40.7146369,28,MOTT STREET
1001620017,-73.998586,40.7147686,32,MOTT STREET
1001620018,-73.9986761,40.7148537,34,MOTT STREET
1001620035,-73.9979222,40.7140989,11,CHATHAM SQUARE
1001630001,-73.9975759,40.7148729,10,PELL STREET
1001630002,-73.9977094,40.7149031,12,PELL STREET
1001630009,-73.9982938,40.7150459,26,PELL STREET
1001630011,-73.9984525,40.715087,30,PELL STREET
1001630018,-73.9983984,40.7154219,69,BAYARD STREET
1001630021,-73.9982901,40.7153368,67,BAYARD STREET
1001630022,-73.9982036,40.7153066,65,BAYARD STREET
1001630023,-73.9981134,40.7152792,63,BAYARD STREET
1001630024,-73.9980268,40.7152572,61,BAYARD STREET
1001630026,-73.9978753,40.7151886,57,BAYARD STREET
1001630028,-73.9977058,40.7151529,53,BAYARD STREET
1001630030,-73.9975398,40.715098,49,BAYARD STREET
1001630033,-73.9971791,40.7150266,28,BOWERY
1001630038,-73.9973847,40.7147933,20,BOWERY
1001640001,-73.9993796,40.7145381,30,MULBERRY STREET
1001640007,-73.9994192,40.7149278,42,MULBERRY STREET
1001640013,-73.9993254,40.7153148,54,MULBERRY STREET
1001640016,-73.9992497,40.7154795,60,MULBERRY STREET
1001640019,-73.9991415,40.7157128,66,MULBERRY STREET
1001640021,-73.9989503,40.7156058,83,BAYARD STREET
1001640022,-73.9988745,40.7155783,81,BAYARD STREET
1001640029,-73.9989972,40.7152352,43,MOTT STREET
1001640032,-73.9991126,40.7149937,33,MOTT STREET
1001640045,-73.999026,40.7144118,21,MOTT STREET
1001640046,-73.9990116,40.714335,19,MOTT STREET
1001640047,-73.999008,40.7142636,17,MOTT STREET
1001640049,-73.9989936,40.7141099,13,MOTT STREET
1001640066,-73.9994265,40.7143789,28,MULBERRY STREET
1001700020,-74.0034919,40.7160559,111,WORTH STREET
1001730027,-74.0046715,40.7169122,343,BROADWAY
1001790032,-74.0074385,40.7181554,176,WEST BROADWAY
1001990005,-73.9995383,40.7167119,87,BAXTER STREET
1001990007,-73.9994409,40.7168684,91,BAXTER STREET
1001990011,-73.9993651,40.7171648,218,CANAL STREET
1001990013,-73.9991919,40.7170139,214,CANAL STREET
1001990017,-73.999044,40.7168437,91,MULBERRY STREET
1001990019,-73.9991198,40.7167147,87,MULBERRY STREET
1001990021,-73.9992172,40.716561,83,MULBERRY STREET
1001990024,-73.999311,40.7164045,77,MULBERRY STREET
1001990032,-73.9997403,40.7162892,104,BAYARD STREET
1001990034,-73.9998701,40.7163359,106,BAYARD STREET
1002000005,-73.9988276,40.7162371,76,MULBERRY STREET
1002000019,-73.9981422,40.7166049,81,MOTT STREET
1002000020,-73.998218,40.7165555,79,MOTT STREET
1002000022,-73.9982901,40.7163935,73,MOTT STREET
1002000024,-73.9983659,40.7163139,69,MOTT STREET
1002000027,-73.9984525,40.7161822,65,MOTT STREET
1002000029,-73.9985282,40.7160587,61,MOTT STREET
1002000033,-73.9986942,40.7158473,78,BAYARD STREET
1002010001,-73.9982469,40.7157293,72,BAYARD STREET
1002010007,-73.9979005,40.7161437,68,MOTT STREET
1002010008,-73.9978645,40.7162041,70,MOTT STREET
1002010009,-73.9978248,40.7162645,72,MOTT STREET
1002010010,-73.9977851,40.7163276,74,MOTT STREET
1002010029,-73.9977418,40.7155454,60,BAYARD STREET
1002010030,-73.9978573,40.7155921,62,BAYARD STREET
1002010033,-73.9980376,40.7156936,68,BAYARD STREET
1002010034,-73.9981098,40.7157183,70,BAYARD STREET
1002030010,-73.9963205,40.7171757,54,ELIZABETH STREET
1002030015,-73.9962267,40.7173734,58,ELIZABETH STREET
1002040005,-73.9971502,40.7173569,102,MOTT STREET
1002050006,-73.9980989,40.7174201,110,MULBERRY STREET
1002050007,-73.9980592,40.7174832,112,MULBERRY STREET
1002050021,-73.9974892,40.7177384,115,MOTT STREET
1002050024,-73.9976083,40.7175491,109,MOTT STREET
1002060004,-73.9988059,40.7178922,119,BAXTER STREET
1002060012,-73.9984993,40.7181337,190,HESTER STREET
1002140002,-74.0096972,40.7208451,399,GREENWICH STREET
1002230027,-74.0100727,40.7233675,439,WASHINGTON STREET
1002350016,-73.9985029,40.7192536,150,BAXTER STREET
1002360025,-73.9978175,40.7188309,141,MULBERRY STREET
1002360026,-73.9978499,40.718765,139,MULBERRY STREET
1002360032,-73.9980231,40.7184082,195,HESTER STREET
1002370012,-73.9972439,40.7190724,191,GRAND STREET
1002370020,-73.996894,40.7187348,141,MOTT STREET
1002370026,-73.9971068,40.7183588,129,MOTT STREET
1002370028,-73.9971357,40.7181776,123,MOTT STREET
1002370029,-73.9972151,40.7180486,121,MOTT STREET
1002370032,-73.9973846,40.7181831,183,HESTER STREET
1002370036,-73.9977309,40.7182627,191,HESTER STREET
1002380012,-73.9964502,40.7188226,205,GRAND STREET
1002380021,-73.9960823,40.7185179,95,ELIZABETH STREET
1002380023,-73.9961292,40.7184164,91,ELIZABETH STREET
1002380027,-73.9962555,40.7181748,83,ELIZABETH STREET
1002380035,-73.9964936,40.7178729,165,HESTER STREET
1002380037,-73.9966523,40.7179306,169,HESTER STREET
1002380037,-73.9966523,40.7179306,169,HESTER STREET
1002380038,-73.9967317,40.7179608,171,HESTER STREET
1002380040,-73.9968543,40.7179992,173,HESTER STREET
1002390008,-73.9957829,40.7180458,84,ELIZABETH STREET
1002390010,-73.9957144,40.7181721,88,ELIZABETH STREET
1002390011,-73.9956675,40.7182297,90,ELIZABETH STREET
1002390012,-73.9956061,40.7183615,92,ELIZABETH STREET
1002710039,-73.9893337,40.7129429,211,MADISON STREET
1002710042,-73.9890559,40.7129648,217,MADISON STREET
1002710043,-73.9889621,40.712973,219,MADISON STREET
1002710044,-73.9888647,40.7129813,221,MADISON STREET
1002710045,-73.9887709,40.7129895,223,MADISON STREET
1002710046,-73.9886735,40.7129977,225,MADISON STREET
1002710047,-73.9887168,40.7132777,174,HENRY STREET
1002710048,-73.9888647,40.7132667,172,HENRY STREET
1002710051,-73.9890991,40.7132448,166,HENRY STREET
1002710052,-73.9891929,40.7132393,164,HENRY STREET
1002710054,-73.9893769,40.7132229,160,HENRY STREET
1002710065,-73.9898315,40.7128331,29,RUTGERS STREET
1002730019,-73.990506,40.7128469,195,MADISON STREET
1002730023,-73.990322,40.7129677,28,RUTGERS STREET
1002730024,-73.9903328,40.7130363,26,RUTGERS STREET
1002740003,-73.9936443,40.7118645,51,MONROE STREET
1002740004,-73.9935577,40.711848,53,MONROE STREET
1002740013,-73.9927461,40.7119413,73,MONROE STREET
1002740038,-73.9940843,40.7122159,42,MARKET STREET
1002750001,-73.9939292,40.7125342,125,MADISON STREET
1002750020,-73.9941925,40.7128362,26,MARKET STREET
1002760003,-73.9962017,40.711645,7,MONROE STREET
1002760004,-73.996108,40.7116533,9,MONROE STREET
1002760006,-73.9959312,40.7116697,13,MONROE STREET
1002760007,-73.9958374,40.7116752,15,MONROE STREET
1002760009,-73.9956607,40.7116917,19,MONROE STREET
1002760010,-73.9955705,40.7116999,21,MONROE STREET
1002760011,-73.9954803,40.7117081,23,MONROE STREET
1002760014,-73.9952567,40.7117273,27,MONROE STREET
1002760022,-73.9945461,40.7117383,53,MARKET STREET
1002760025,-73.9945713,40.7119661,47,MARKET STREET
1002760031,-73.9947949,40.712054,116,MADISON STREET
1002760033,-73.9949753,40.7120375,112,MADISON STREET
1002760034,-73.9950655,40.7120293,110,MADISON STREET
1002760036,-73.9952458,40.7120155,106,MADISON STREET
1002760039,-73.9955128,40.7119936,100,MADISON STREET
1002760040,-73.9955993,40.7119854,98,MADISON STREET
1002760042,-73.9957869,40.7119689,94,MADISON STREET
1002760046,-73.9961404,40.7119387,86,MADISON STREET
1002760048,-73.9963244,40.7119223,82,MADISON STREET
1002760052,-73.9965588,40.7119936,43,CATHERINE STREET
1002760054,-73.9965805,40.7118674,47,CATHERINE STREET
1002760055,-73.9965661,40.7117933,49,CATHERINE STREET
1002760056,-73.9965588,40.7117219,51,CATHERINE STREET
1002770002,-73.9963568,40.7123587,77,MADISON STREET
1002770017,-73.9950402,40.7124712,107,MADISON STREET
1002770020,-73.9946434,40.7123998,37,MARKET STREET
1002770021,-73.9946542,40.7124712,35,MARKET STREET
1002770022,-73.9946687,40.7125727,31,MARKET STREET
1002770029,-73.9950799,40.7127511,58,HENRY STREET
1002770030,-73.99517,40.7127429,56,HENRY STREET
1002770032,-73.9953504,40.7127264,52,HENRY STREET
1002770036,-73.9957111,40.7126963,44,HENRY STREET
1002770042,-73.9962594,40.7126496,32,HENRY STREET
1002770045,-73.9965299,40.7126277,26,HENRY STREET
1002770049,-73.996869,40.7126442,27,CATHERINE STREET
1002770052,-73.996768,40.7125014,31,CATHERINE STREET
1002770053,-73.99675,40.7124273,33,CATHERINE STREET
1002770054,-73.9967356,40.7123532,37,CATHERINE STREET
1002790021,-73.998568,40.7126003,47,ST JAMES PLACE
1002790022,-73.9985752,40.7125289,45,ST JAMES PLACE
1002790023,-73.9985499,40.7124603,24,JAMES STREET
1002790053,-73.997392,40.7128857,24,CATHERINE STREET
1002800002,-73.9965912,40.7130476,25,HENRY STREET
1002800003,-73.9965011,40.7130696,27,HENRY STREET
1002800006,-73.9962341,40.7130723,33,HENRY STREET
1002800008,-73.9960502,40.7131053,37,HENRY STREET
1002800009,-73.9959636,40.7131162,39,HENRY STREET
1002800011,-73.995776,40.7131299,43,HENRY STREET
1002800013,-73.9956858,40.7131382,45,HENRY STREET
1002800025,-73.9947804,40.7133907,13,MARKET STREET
1002800046,-73.9966237,40.7132947,29,EAST BROADWAY
1002800052,-73.9969375,40.7131025,17,CATHERINE STREET
1002800054,-73.9969159,40.7129955,21,CATHERINE STREET
1002800055,-73.9969015,40.7129296,23,CATHERINE STREET
1002810010,-73.9968545,40.7137009,24,EAST BROADWAY
1002810011,-73.9967643,40.7137201,26,EAST BROADWAY
1002810017,-73.9962269,40.713753,38,EAST BROADWAY
1002810030,-73.9950689,40.7139451,64,EAST BROADWAY
1002810031,-73.9949643,40.7138545,66,EAST BROADWAY
1002810055,-73.9965263,40.7139287,19,DIVISION STREET
1002820011,-73.9931283,40.7133494,91,HENRY STREET
1002820012,-73.9930382,40.7133576,93,HENRY STREET
