major_category,minor_category,count
APPLIANCE,ELECTRIC/GAS RANGE,934
APPLIANCE,REFRIGERATOR,517
DOOR/WINDOW,DOOR,2201
DOOR/WINDOW,DOOR FRAME,298
DOOR/WINDOW,DOOR TO DUMBWAITER,9
DOOR/WINDOW,WINDOW FRAME,1571
DOOR/WINDOW,WINDOW PANE,276
ELECTRIC,LIGHTING,460
ELECTRIC,NO LIGHTING,541
ELECTRIC,OUTLET/SWITCH,657
ELECTRIC,POWER OUTAGE,347
ELECTRIC,WIRING,378
ELEVATOR,MAINTENANCE,158
FLOORING/STAIRS,FLOOR,2793
FLOORING/STAIRS,STAIRS,90
GENERAL,BELL/BUZZER/INTERCOM,618
GENERAL,CABINET,737
GENERAL,COOKING GAS,929
GENERAL,JANITOR/SUPER,173
GENERAL,MAILBOX,116
GENERAL,SIGNAGE MISSING,148
GENERAL,VENTILATION SYSTEM,77
HEAT/HOT WATER,APARTMENT ONLY,4777
HEAT/HOT WATER,ENTIRE BUILDING,13230
OUTSIDE BUILDING,GUTTER/LEADER,14
OUTSIDE BUILDING,PAVEMENT,15
OUTSIDE BUILDING,PORCH/BALCONY,1
OUTSIDE BUILDING,ROOF DOOR/HATCH,44
OUTSIDE BUILDING,ROOFING,60
OUTSIDE BUILDING,SKYLIGHT,12
PAINT/PLASTER,CABINET,53
PAINT/PLASTER,CEILING,3097
PAINT/PLASTER,DOOR/FRAME,69
PAINT/PLASTER,RADIATOR,112
PAINT/PLASTER,WALL,3361
PAINT/PLASTER,WINDOW/FRAME,83
PLUMBING,BASIN/SINK,1576
PLUMBING,BATHTUB/SHOWER,1119
PLUMBING,BOILER,32
PLUMBING,RADIATOR,592
PLUMBING,SEWER,10
PLUMBING,STEAM PIPE/RISER,171
PLUMBING,TOILET,669
PLUMBING,WATER SUPPLY,1029
SAFETY,CARBON MONOXIDE DETECTOR,475
SAFETY,FIRE ESCAPE,326
SAFETY,SMOKE DETECTOR,497
SAFETY,SPRINKLER,12
SAFETY,WINDOW GUARD BROKEN/MISSING,358
UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,1830
UNSANITARY CONDITION,MOLD,2346
UNSANITARY CONDITION,PESTS,4059
UNSANITARY CONDITION,SEWAGE,127
WATER LEAK,DAMP SPOT,460
WATER LEAK,HEAVY FLOW,1354
WATER LEAK,SLOW LEAK,1335
NA,NA,1
