bbl,isn_dob_bis_extract,dob_violation_number,ecb_violation_status,issue_date,violation_type,elig_flag,qual_flag,swl_flag
1000160185,NA,NA,NA,NA,NA,T,F,F
1000260014,1258575,11092017PL10DL01,RESOLVE,2017-09-25T00:00:00Z,Construction,T,F,F
1000310001,1321494,102920CMTFJV01,RESOLVE,2019-10-29T00:00:00Z,Construction,T,F,F
1000330011,NA,NA,NA,NA,NA,T,F,F
1000420001,1489893,092716CSPORS01,RESOLVE,2016-09-27T00:00:00Z,Construction,T,F,F
1000420022,NA,NA,NA,NA,NA,T,F,F
1000520021,NA,NA,NA,NA,NA,T,F,F
1000530006,1269478,041317CSPOSC01,RESOLVE,2017-04-13T00:00:00Z,Construction,T,F,F
1000650006,NA,NA,NA,NA,NA,T,F,F
1000690006,NA,NA,NA,NA,NA,T,F,F
1000690018,NA,NA,NA,NA,NA,T,F,F
1000720027,952326,071316CSSUSK02,RESOLVE,2016-07-13T00:00:00Z,Construction,T,F,F
1000720027,952373,071316CSSUSK04,RESOLVE,2016-07-13T00:00:00Z,Construction,T,F,F
1000760024,NA,NA,NA,NA,NA,T,F,F
1000780047,530713,05182017SS01BG02,RESOLVE,2017-05-18T00:00:00Z,Construction,T,F,F
1000780047,1180128,10272017CDCWRH02,RESOLVE,2017-10-27T00:00:00Z,Construction,T,F,F
1000780047,1180052,10272017CDCWRTT01,RESOLVE,2017-10-27T00:00:00Z,Construction,T,F,F
1000780047,1047155,121516CEU01RC01,RESOLVE,2016-12-15T00:00:00Z,Construction,T,F,F
1000780047,852926,081318BS01MA01,RESOLVE,2018-08-13T00:00:00Z,Construction,T,F,F
1000880014,NA,NA,NA,NA,NA,T,F,F
1000900017,NA,NA,NA,NA,NA,T,F,F
1000970018,NA,NA,NA,NA,NA,T,F,F
1001070028,NA,NA,NA,NA,NA,T,F,F
1001620013,NA,NA,NA,NA,NA,T,F,F
1001620014,NA,NA,NA,NA,NA,T,F,F
1001620015,NA,NA,NA,NA,NA,T,F,F
1001620017,NA,NA,NA,NA,NA,T,F,F
1001620018,NA,NA,NA,NA,NA,T,F,F
1001620035,NA,NA,NA,NA,NA,T,F,F
1001630001,NA,NA,NA,NA,NA,T,F,F
1001630002,1565548,10282020CMTFHZ09,RESOLVE,2020-10-28T00:00:00Z,Construction,T,F,F
1001630009,1284373,091818PL03MJ01,RESOLVE,2018-09-18T00:00:00Z,Construction,T,F,F
1001630011,NA,NA,NA,NA,NA,T,F,F
1001630018,1227510,09072017ASPOSCR01,RESOLVE,2017-07-20T00:00:00Z,Construction,T,F,F
1001630021,NA,NA,NA,NA,NA,T,F,F
1001630022,NA,NA,NA,NA,NA,T,F,F
1001630023,NA,NA,NA,NA,NA,T,F,F
1001630024,NA,NA,NA,NA,NA,T,F,F
1001630026,NA,NA,NA,NA,NA,T,F,F
1001630028,NA,NA,NA,NA,NA,T,F,F
1001630030,1256541,021618C03EH02,RESOLVE,2018-02-16T00:00:00Z,Construction,T,F,F
1001630033,NA,NA,NA,NA,NA,T,F,F
1001630038,NA,NA,NA,NA,NA,T,F,F
1001640001,668831,072816PL03IT01,RESOLVE,2016-07-28T00:00:00Z,Construction,T,F,F
1001640007,NA,NA,NA,NA,NA,T,F,F
1001640013,NA,NA,NA,NA,NA,T,F,F
1001640016,NA,NA,NA,NA,NA,T,F,F
1001640019,886861,031119C03MP01,RESOLVE,2019-03-11T00:00:00Z,Construction,T,F,F
1001640021,NA,NA,NA,NA,NA,T,F,F
1001640022,NA,NA,NA,NA,NA,T,F,F
1001640026,NA,NA,NA,NA,NA,T,F,F
1001640029,NA,NA,NA,NA,NA,T,F,F
1001640032,NA,NA,NA,NA,NA,T,F,F
1001640045,1539596,07022019C03KH01,ACTIVE,2019-07-02T00:00:00Z,Construction,T,F,F
1001640046,NA,NA,NA,NA,NA,T,F,F
1001640047,NA,NA,NA,NA,NA,T,F,F
1001640049,NA,NA,NA,NA,NA,T,F,F
1001640066,NA,NA,NA,NA,NA,T,F,F
1001700020,NA,NA,NA,NA,NA,T,T,F
1001710005,NA,NA,NA,NA,NA,T,F,F
1001730027,NA,NA,NA,NA,NA,T,F,F
1001780022,NA,NA,NA,NA,NA,T,F,F
1001790032,NA,NA,NA,NA,NA,T,T,F
1001990002,NA,NA,NA,NA,NA,T,F,F
1001990005,1367333,031519C03RB01,ACTIVE,2019-03-15T00:00:00Z,Construction,T,F,F
1001990007,NA,NA,NA,NA,NA,T,F,F
1001990011,NA,NA,NA,NA,NA,T,F,F
1001990013,NA,NA,NA,NA,NA,T,F,F
1001990017,NA,NA,NA,NA,NA,T,F,F
1001990019,NA,NA,NA,NA,NA,T,F,F
1001990021,NA,NA,NA,NA,NA,T,F,F
1001990024,NA,NA,NA,NA,NA,T,F,F
1001990031,NA,NA,NA,NA,NA,T,T,T
1001990032,1351807,,RESOLVE,2019-09-25T00:00:00Z,Construction,T,F,F
1001990034,NA,NA,NA,NA,NA,T,T,T
1002000005,NA,NA,NA,NA,NA,T,F,F
1002000019,NA,NA,NA,NA,NA,T,F,F
